timestamp_local,food_name,label,temperature,humidity,mq2_ppm,mq3_ppm,mq4_ppm,mq135_ppm,mq136_ppm,mq137_ppm,co2
2026-06-28 2:46:23,Rice,Fresh,29.1,96.5,2515.4,68.4,250.5,169.4,63.2,111.9,818.0
2026-06-28 2:51:24,Rice,Fresh,29.1,96.4,2498.9,68.2,263.7,168.2,64.9,116.8,814.0
2026-06-28 2:56:23,Rice,Fresh,29.1,96.4,2502.9,67.4,268.1,167.9,64.8,116.5,813.0
2026-06-28 3:01:24,Rice,Fresh,29.1,96.4,2506.2,68.1,264.5,168.1,64.8,116.5,811.0
2026-06-28 3:06:24,Rice,Fresh,29.1,96.6,2511.4,67.7,236.3,167.8,64.7,116.7,795.0
2026-06-28 3:11:23,Rice,Fresh,29.0,96.4,2516.5,69.2,265.2,167.4,65.3,117.2,825.0
2026-06-28 3:16:22,Rice,Fresh,29.0,96.6,2503.7,68.0,264.8,167.7,64.9,117.0,820.0
2026-06-28 3:21:22,Rice,Fresh,29.0,96.6,2514.3,68.6,268.9,167.3,65.6,117.2,822.0
2026-06-28 3:26:23,Rice,Fresh,29.0,96.7,2519.4,67.8,134.8,153.3,66.0,118.0,822.0
2026-06-28 3:31:24,Rice,Fresh,29.0,96.5,2519.0,68.4,272.9,166.0,65.5,117.8,814.0
2026-06-28 3:36:23,Rice,Fresh,29.0,96.8,2517.2,68.1,272.9,167.7,65.6,117.5,836.0
2026-06-28 3:41:22,Rice,Fresh,29.0,96.6,2516.8,68.5,285.3,165.8,65.5,116.7,817.0
2026-06-28 3:46:24,Rice,Fresh,28.9,96.8,2513.2,67.9,288.6,165.2,65.7,116.9,828.0
2026-06-28 3:51:23,Rice,Fresh,28.9,96.8,2520.9,67.6,271.4,165.6,66.0,117.5,816.0
2026-06-28 3:56:24,Rice,Fresh,28.9,96.9,2528.2,67.0,273.3,165.5,65.5,117.2,817.0
2026-06-28 4:01:23,Rice,Fresh,28.9,96.9,2524.5,68.2,289.7,165.9,66.6,117.6,799.0
2026-06-28 4:06:24,Rice,Fresh,28.9,97.1,2391.9,65.8,279.9,164.8,66.3,117.8,829.0
2026-06-28 4:11:23,Rice,Fresh,28.9,96.9,2532.2,67.2,274.7,164.9,66.2,117.7,816.0
2026-06-28 4:16:24,Rice,Fresh,28.9,97.1,2533.0,67.4,279.9,165.5,66.3,117.8,822.0
2026-06-28 4:21:24,Rice,Fresh,28.9,97.0,2529.3,67.1,290.5,153.6,63.5,115.2,827.0
2026-06-28 4:26:24,Rice,Fresh,28.9,96.9,2539.6,67.4,296.3,165.8,66.7,118.0,836.0
2026-06-28 4:31:24,Rice,Fresh,28.9,97.0,2545.4,67.1,279.5,164.4,66.5,117.9,804.0
2026-06-28 4:36:24,Rice,Fresh,28.9,97.1,2552.4,67.4,288.6,166.3,66.8,117.9,804.0
2026-06-28 4:41:23,Rice,Fresh,28.9,97.2,2542.9,67.0,299.6,165.3,66.5,118.0,843.0
2026-06-28 4:46:23,Rice,Fresh,28.9,97.1,2551.3,67.1,301.1,165.4,66.7,118.2,822.0
2026-06-28 4:51:22,Rice,Fresh,28.9,97.1,2542.5,66.2,300.0,164.0,66.2,118.0,825.0
2026-06-28 4:56:24,Rice,Fresh,28.9,97.1,2556.4,67.7,297.1,164.2,67.1,118.6,837.0
2026-06-28 5:01:23,Rice,Fresh,28.9,97.2,2460.4,60.5,233.7,165.1,66.8,118.5,828.0
2026-06-28 5:06:22,Rice,Fresh,28.9,97.1,2556.8,67.3,317.6,165.0,67.0,119.0,826.0
2026-06-28 5:11:23,Rice,Fresh,28.8,97.3,2568.1,67.7,326.4,165.0,67.8,119.7,838.0
2026-06-28 5:16:23,Rice,Fresh,28.9,97.3,2572.5,67.3,309.5,164.7,66.9,115.2,841.0
2026-06-28 5:21:23,Rice,Fresh,28.9,97.3,2591.2,69.3,337.4,165.0,68.8,120.6,842.0
2026-06-28 5:26:23,Rice,Fresh,28.8,97.3,2587.2,70.2,327.5,166.1,69.4,121.3,841.0
2026-06-28 5:31:24,Rice,Fresh,28.9,97.3,2586.8,68.0,297.8,165.8,68.3,120.8,833.0
2026-06-28 5:36:23,Rice,Fresh,28.8,97.2,2592.3,68.3,314.3,165.1,68.8,121.2,840.0
2026-06-28 5:41:23,Rice,Fresh,28.8,97.4,2605.5,69.7,322.3,167.3,69.7,122.3,833.0
2026-06-28 5:46:23,Rice,Fresh,28.9,97.3,2617.9,70.9,360.4,166.7,70.8,123.6,848.0
2026-06-28 5:51:24,Rice,Fresh,28.8,97.5,2604.8,70.2,340.3,167.4,70.4,123.3,838.0
2026-06-28 5:56:23,Rice,Fresh,28.8,97.5,2601.5,69.7,392.3,154.3,68.4,122.8,829.0
2026-06-28 6:01:23,Rice,Fresh,28.7,97.5,2613.2,69.4,332.2,165.4,70.0,122.7,823.0
2026-06-28 6:06:22,Rice,Fresh,28.8,97.5,2616.5,71.3,340.7,166.4,71.2,123.6,848.0
2026-06-28 6:11:22,Rice,Fresh,28.8,97.6,2639.6,74.1,356.8,168.2,73.2,126.6,865.0
2026-06-28 6:16:23,Rice,Fresh,28.8,97.6,2645.4,72.8,357.5,167.2,72.0,125.6,847.0
2026-06-28 6:21:23,Rice,Fresh,28.8,97.5,2727.8,84.6,405.9,172.3,80.2,132.9,902.0
2026-06-28 6:26:22,Rice,Fresh,28.8,97.5,2757.9,90.7,446.2,177.4,84.0,138.7,935.0
2026-06-28 6:31:22,Rice,Fresh,28.7,97.5,2770.3,89.4,447.6,176.2,83.5,139.3,901.0
2026-06-28 6:36:22,Rice,Fresh,28.7,97.4,2652.4,86.7,465.2,176.3,84.5,140.4,897.0
2026-06-28 6:41:37,Rice,Fresh,28.7,97.6,2800.4,91.4,470.0,176.6,84.4,141.5,895.0
2026-06-28 6:46:22,Rice,Fresh,28.7,97.6,2778.0,87.6,476.2,176.2,81.8,139.0,880.0
2026-06-28 6:51:22,Rice,Fresh,28.7,97.7,1641.4,96.6,527.8,178.0,84.6,140.0,893.0
2026-06-28 6:56:22,Rice,Fresh,28.7,97.7,2857.5,96.8,548.7,179.0,87.5,144.7,899.0
2026-06-28 7:01:22,Rice,Fresh,28.6,97.6,2881.7,97.7,550.2,180.4,88.7,147.3,907.0
2026-06-28 7:06:23,Rice,Fresh,28.6,97.7,2854.2,95.1,548.4,177.8,86.6,144.3,894.0
2026-06-28 7:11:22,Rice,Fresh,28.6,97.7,2885.0,94.8,566.7,179.6,88.0,146.2,920.0
2026-06-28 7:16:22,Rice,Fresh,28.7,97.8,2928.9,98.8,576.6,180.4,90.1,148.2,906.0
2026-06-28 7:21:22,Rice,Fresh,28.7,97.7,2910.3,98.2,587.2,179.0,89.5,147.2,897.0
2026-06-28 7:26:22,Rice,Fresh,28.7,98.0,2916.5,93.6,586.4,178.8,88.4,146.9,891.0
2026-06-28 7:31:22,Rice,Fresh,28.7,97.8,2981.0,94.8,483.2,172.0,92.3,151.0,906.0
2026-06-28 7:36:22,Rice,Fresh,28.7,97.7,2915.8,93.7,579.9,179.0,88.6,146.7,900.0
2026-06-28 7:41:22,Rice,Fresh,28.8,97.5,2979.5,98.7,626.4,180.0,92.2,150.0,911.0
2026-06-28 7:46:23,Rice,Fresh,28.8,97.7,3030.8,100.8,715.0,183.7,95.0,154.1,921.0
2026-06-28 7:51:22,Rice,Fresh,28.8,97.6,3007.0,100.3,653.8,182.1,93.7,152.1,909.0
2026-06-28 7:56:22,Rice,Fresh,28.9,97.5,3033.3,102.4,697.4,182.1,95.0,153.3,909.0
2026-06-28 8:01:23,Rice,Fresh,28.9,97.6,3101.1,102.9,724.2,185.3,97.7,157.5,919.0
2026-06-28 8:06:22,Rice,Fresh,28.9,97.4,3068.1,104.2,721.2,184.0,97.3,156.7,918.0
2026-06-28 8:11:22,Rice,Fresh,29.0,97.2,2912.1,98.5,707.0,182.4,94.6,154.3,901.0
2026-06-28 8:16:22,Rice,Fresh,29.0,97.3,3074.0,103.0,729.7,182.7,97.0,155.4,914.0
2026-06-28 8:21:22,Rice,Fresh,29.1,97.4,3127.5,105.3,789.7,185.1,99.2,159.5,911.0
2026-06-28 8:26:22,Rice,Fresh,29.2,97.0,3011.0,98.5,680.2,171.2,90.1,151.5,988.0
2026-06-28 8:31:23,Rice,Fresh,29.2,95.9,3005.5,98.8,658.6,182.1,93.3,152.6,967.0
2026-06-28 8:36:22,Rice,Fresh,29.3,95.9,3060.4,101.2,707.3,182.7,96.0,154.9,952.0
2026-06-28 8:41:21,Rice,Fresh,29.3,95.8,3087.2,103.2,713.9,183.9,97.6,156.5,920.0
2026-06-28 8:46:27,Rice,Fresh,29.4,95.8,3082.1,99.7,710.3,182.7,95.8,156.1,931.0
